id	repo_path	remote	branch	baseline_head	baseline_date	has_dossier	watch_globs	triggers
BUGS.reserve-governor-audit.repo	BUGS/reserve-governor-audit/repo	reserve-protocol/reserve-governor	DETACHED	dc27a68	2026-04-28	yes	contracts/,src/	
BUGS.sbtc-audit	BUGS/sbtc-audit	stacks-network/sbtc	main	9bea9fd	2026-08-04	yes	contracts/,src/	
BUGS.sdks	BUGS/sdks	morpho-org/sdks	main	cdba338	2026-03-19	yes	contracts/,src/	
BUGS.shapeshift-recon.unchained	BUGS/shapeshift-recon/unchained	shapeshift/unchained	develop	fd48a7bc	2026-04-06	yes	contracts/,src/	
BUGS.shepherd	BUGS/shepherd	PlaytikaOSS/shepherd	develop	97e45bf	2024-03-28	yes	contracts/,src/	
BUGS.snowbridge-audit.snowbridge	BUGS/snowbridge-audit/snowbridge	Snowfork/snowbridge	DETACHED	1832f1a	2026-02-06	yes	contracts/,src/	
BUGS.spark-immunefi.spark-alm-controller	BUGS/spark-immunefi/spark-alm-controller	marsfoundation/spark-alm-controller	dev	ce5cbd9	2026-06-17	yes	contracts/,src/	
BUGS.spark-immunefi.spark-gov-relay	BUGS/spark-immunefi/spark-gov-relay	marsfoundation/spark-gov-relay	master	6218d57	2025-11-26	yes	contracts/,src/	
BUGS.spark-immunefi.spark-interface	BUGS/spark-immunefi/spark-interface	sparkdotfi/spark-interface	spark	d5e5655	2025-06-12	yes	contracts/,src/	
BUGS.spark-immunefi.spark-psm	BUGS/spark-immunefi/spark-psm	marsfoundation/spark-psm	master	2b1a72a	2025-06-06	yes	contracts/,src/	
BUGS.spark-immunefi.spark-vaults-v2	BUGS/spark-immunefi/spark-vaults-v2	sparkdotfi/spark-vaults-v2	dev	51c6d7a	2025-12-10	yes	contracts/,src/	
BUGS.spark-immunefi.xchain-ssr-oracle	BUGS/spark-immunefi/xchain-ssr-oracle	marsfoundation/xchain-ssr-oracle	master	4a23d1f	2026-05-19	yes	contracts/,src/	
BUGS.succinct-audit.c4-repo	BUGS/succinct-audit/c4-repo	code-423n4/2025-09-succinct	main	3b93061	2026-01-16	yes	contracts/,src/	
BUGS.succinct-audit.sp1-contracts	BUGS/succinct-audit/sp1-contracts	succinctlabs/sp1-contracts	main	22c4a47	2026-02-24	yes	contracts/,src/	
BUGS.succinct-audit.sp1-v6	BUGS/succinct-audit/sp1-v6	succinctlabs/sp1	DETACHED	f87f8d6	2026-02-12	yes	contracts/,src/	
BUGS.swap-io-audit.raydium-clmm	BUGS/swap-io-audit/raydium-clmm	raydium-io/raydium-clmm	master	a5a46ff	2025-12-29	yes	contracts/,src/	
BUGS.swap-io-audit.swap-io-clmm	BUGS/swap-io-audit/swap-io-clmm	swap-dot-io/swap-io-clmm	DETACHED	586ca2b	2025-03-13	yes	contracts/,src/	
BUGS.swap-vm	BUGS/swap-vm	1inch/swap-vm	DETACHED	32c687c	2026-07-26	yes	contracts/,src/	
BUGS.testcontainers-sb	BUGS/testcontainers-sb	PlaytikaOSS/testcontainers-spring-boot	develop	0a17e29	2026-03-09	yes	contracts/,src/	
BUGS.threshold-signatures	BUGS/threshold-signatures	near/threshold-signatures	main	a09466a	2026-02-25	yes	contracts/,src/	
BUGS.trufin-audit.smart-contracts-aptos-public	BUGS/trufin-audit/smart-contracts-aptos-public	TruFin-io/smart-contracts-aptos-public	main	b4c7b99	2026-07-01	yes	contracts/,src/	
BUGS.trufin-audit.smart-contracts-cosmos-public	BUGS/trufin-audit/smart-contracts-cosmos-public	TruFin-io/smart-contracts-cosmos-public	main	76b4975	2026-06-26	yes	contracts/,src/	
BUGS.trufin-audit.smart-contracts-near-public	BUGS/trufin-audit/smart-contracts-near-public	TruFin-io/smart-contracts-near-public	main	208f629	2026-05-21	yes	contracts/,src/	
BUGS.trufin-audit.smart-contracts-public	BUGS/trufin-audit/smart-contracts-public	TruFin-io/smart-contracts-public	main	1b2f142	2026-07-28	yes	contracts/,src/	
BUGS.trufin-audit.smart-contracts-solana-public	BUGS/trufin-audit/smart-contracts-solana-public	TruFin-io/smart-contracts-solana-public	main	ce5d88b	2026-07-07	yes	contracts/,src/	
BUGS.universal-rewards-distributor	BUGS/universal-rewards-distributor	morpho-org/universal-rewards-distributor	main	3de504b	2025-01-14	yes	contracts/,src/	
BUGS.vault-v2-adapter-registries	BUGS/vault-v2-adapter-registries	morpho-org/vault-v2-adapter-registries	DETACHED	d3b239b	2025-09-19	yes	contracts/,src/	
BUGS.veda-pocs	BUGS/veda-pocs	none	master			yes	contracts/,src/	
BUGS.vercel-recon.ai	BUGS/vercel-recon/ai	vercel/ai	main	07d4ce6b	2026-04-01	yes	contracts/,src/	
BUGS.vercel-recon.flags	BUGS/vercel-recon/flags	vercel/flags	main	eafa640	2026-03-29	yes	contracts/,src/	
BUGS.vercel-recon.kit	BUGS/vercel-recon/kit	sveltejs/kit	main	56c921d	2026-04-01	yes	contracts/,src/	
BUGS.vercel-recon.ms	BUGS/vercel-recon/ms	vercel/ms	main	6ec025f	2025-08-27	yes	contracts/,src/	
BUGS.vercel-recon.next.js	BUGS/vercel-recon/next.js	vercel/next.js	canary	01f7cd13	2026-04-01	yes	contracts/,src/	
BUGS.vercel-recon.nitro	BUGS/vercel-recon/nitro	nitrojs/nitro	main	55f30f4	2026-03-30	yes	contracts/,src/	
BUGS.vercel-recon.nuxt	BUGS/vercel-recon/nuxt	nuxt/nuxt	main	a00ad0d	2026-03-31	yes	contracts/,src/	
BUGS.vercel-recon.skills	BUGS/vercel-recon/skills	vercel-labs/skills	main	10438af	2026-04-01	yes	contracts/,src/	
BUGS.vercel-recon.svelte	BUGS/vercel-recon/svelte	sveltejs/svelte	main	e402b2d	2026-04-01	yes	contracts/,src/	
BUGS.vercel-recon.vercel	BUGS/vercel-recon/vercel	vercel/vercel	main	9375048	2026-04-01	yes	contracts/,src/	
BUGS.vercel-recon.workflow	BUGS/vercel-recon/workflow	vercel/workflow	main	e574ad2	2026-04-01	yes	contracts/,src/	
BUGS.Web3-DEX-EVM-PMM	BUGS/Web3-DEX-EVM-PMM	okxlabs/Web3-DEX-EVM-PMM	main	49b8f14	2026-01-16	yes	contracts/,src/	
BUGS.web-corpus.vrt	BUGS/web-corpus/vrt	bugcrowd/vulnerability-rating-taxonomy	master	211dc55	2026-06-23	yes	contracts/,src/	
BUGS.xrpl-attackathon.2026-04-xrp-ledger-april-2026-SatisLoeb	BUGS/xrpl-attackathon/2026-04-xrp-ledger-april-2026-SatisLoeb	sherlock-audit/2026-04-xrp-ledger-april-2026-SatisLoeb	main	413ce90	2026-04-15	yes	contracts/,src/	
BUGS.yield-basis	BUGS/yield-basis	yield-basis/yb-core	master	41137e5	2026-01-24	yes	contracts/,src/	
BUGS.zetachain-gotss	BUGS/zetachain-gotss	zeta-chain/go-tss	master	a0868ab	2025-10-17	yes	contracts/,src/	
BUGS.zetachain-tsslib	BUGS/zetachain-tsslib	zeta-chain/tss-lib	threshold-dep-updates	2e6b438	2024-09-16	yes	contracts/,src/	
